,Basic Model,Final Model,Var
Predictors (#),19.0,5.0,-0.7368421052631579
Train R2,0.879986941316389,0.871781887076816,-0.009324063635874945
Train RSE,2.968277107092532,3.0680672918947,0.03361889109467752
Test R2,0.8007292825307107,0.8554530623813321,0.0683424236436895
Test RSE,4.022916335765993,3.4004672424223084,-0.15472583603336754
